ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Nepal,2020-03-28T00:00:00.000Z,5,0,46474,83.93851707,28.25300785,Nepal,尼泊尔,Népal,Nepal,Непал,نيبال
Bhutan,2020-03-28T00:00:00.000Z,3,0,46475,90.42943275,27.41546082,Bhutan,不丹,Bhoutan,Bhután,Бутан,بوتان
Timor-Leste,2020-03-28T00:00:00.000Z,1,0,46476,125.8609961,-8.82052123,Timor-Leste,东帝汶,Timor-Leste,Timor-Leste,Тимор-Лешти,تيمور- ليشتي
Iran (Islamic Republic of),2020-03-28T00:00:00.000Z,38309,2640,46477,54.30141376,32.56479959,Iran (Islamic Republic of),伊朗（伊斯兰共和国）,Iran (République islamique d'),Irán (República Islámica del),Иран (Исламская Республика),إيران (جمهورية - الإسلامية)
Pakistan,2020-03-28T00:00:00.000Z,1526,13,46478,69.38581881,29.96678898,Pakistan,巴基斯坦,Pakistan,Pakistán,Пакистан,باكستان
Saudi Arabia,2020-03-28T00:00:00.000Z,1299,8,46479,44.57044965,24.08088192,Saudi Arabia,沙特阿拉伯,Arabie saoudite,Arabia Saudita,Саудовская Аравия,المملكة العربية السعودية
Qatar,2020-03-28T00:00:00.000Z,590,1,46480,51.19120083,25.31580997,Qatar,卡塔尔,Qatar,Qatar,Катар,قطر
Egypt,2020-03-28T00:00:00.000Z,576,36,46481,29.78210708,26.5565646,Egypt,埃及,Égypte,Egipto,Египет,مصر
Iraq,2020-03-28T00:00:00.000Z,547,42,46482,43.77224552,33.04800654,Iraq,伊拉克,Iraq,Iraq,Ирак,العراق
Bahrain,2020-03-28T00:00:00.000Z,499,4,46483,50.56248915,26.01947392,Bahrain,巴林,Bahreïn,Bahrein,Бахрейн,البحرين
United Arab Emirates,2020-03-28T00:00:00.000Z,468,2,46484,54.33219878,23.91267254,United Arab Emirates,阿拉伯联合酋长国,Émirats arabes unis,Emiratos Árabes Unidos,Объединенные Арабские Эмираты,الإمارات العربية المتحدة
Morocco,2020-03-28T00:00:00.000Z,450,26,46485,-6.31780295,31.88355697,Morocco,摩洛哥,Maroc,Marruecos,Марокко,المغرب
Lebanon,2020-03-28T00:00:00.000Z,438,10,46486,35.88806123,33.92039304,Lebanon,黎巴嫩,Liban,Líbano,Ливан,لبنان
Tunisia,2020-03-28T00:00:00.000Z,278,8,46487,9.56156142,34.11124917,Tunisia,突尼斯,Tunisie,Túnez,Тунис,تونس
Kuwait,2020-03-28T00:00:00.000Z,255,0,46488,47.59355128,29.34250906,Kuwait,科威特,Koweït,Kuwait,Кувейт,الكويت
Jordan,2020-03-28T00:00:00.000Z,246,1,46489,36.78694114,31.25338179,Jordan,约旦,Jordanie,Jordania,Иордания,الأردن
Oman,2020-03-28T00:00:00.000Z,167,0,46490,56.10981747,20.60208368,Oman,阿曼,Oman,Omán,Оман,عمان
Afghanistan,2020-03-28T00:00:00.000Z,114,4,46491,66.02652977,33.83890116,Afghanistan,阿富汗,Afghanistan,Afganistán,Афганистан,أفغانستان
occupied Palestinian territory,2020-03-28T00:00:00.000Z,106,1,46492,35.20376878,31.91395114,occupied Palestinian territory,"巴勒斯坦被占领土
",,,,
Djibouti,2020-03-28T00:00:00.000Z,19,0,46493,42.5779403,11.7498128,Djibouti,吉布提,Djibouti,Djibouti,Джибути,جيبوتي
Syrian Arab Republic,2020-03-28T00:00:00.000Z,9,1,46494,38.50584744,35.01307272,Syrian Arab Republic,阿拉伯叙利亚共和国,République arabe syrienne,República Árabe Siria,Сирийская Арабская Республика,الجمهورية العربية السورية
Sudan,2020-03-28T00:00:00.000Z,5,1,46495,30.00438135,16.04883821,Sudan,苏丹,Soudan,Sudán,Судан,السودان
Libya,2020-03-28T00:00:00.000Z,3,0,46496,18.02318627,27.04404524,Libya,利比亚,Libye,Libia,Ливия,ليبيا
Somalia,2020-03-28T00:00:00.000Z,3,0,46497,45.86255927,6.0637135,Somalia,索马里,Somalie,Somalia,Сомали,الصومال
United States of America,2020-03-28T00:00:00.000Z,103321,1668,46498,-112.4935645,45.6954816,United States of America,美利坚合众国,États-Unis d'Amérique,Estados Unidos de América,Соединенные Штаты Америки,الولايات المتحدة الأمريكية 
Canada,2020-03-28T00:00:00.000Z,4757,55,46499,-98.26094698,61.3930667,Canada,加拿大,Canada,Canadá,Канада,كندا
Brazil,2020-03-28T00:00:00.000Z,3417,92,46500,-53.08875436,-10.7722828,Brazil,巴西,Brésil,Brasil,Бразилия,البرازيل
Chile,2020-03-28T00:00:00.000Z,1909,6,46501,-71.38009385,-37.86811922,Chile,智利,Chili,Chile,Чили,شيلي
Ecuador,2020-03-28T00:00:00.000Z,1823,48,46502,-78.78096177,-1.42528337,Ecuador,厄瓜多尔,Équateur,Ecuador,Эквадор,إكوادور
Panama,2020-03-28T00:00:00.000Z,786,14,46503,-80.10906884,8.50544318,Panama,巴拿马,Panama,Panamá,Панама,بنما
Mexico,2020-03-28T00:00:00.000Z,717,12,46504,-102.5349909,23.95092841,Mexico,墨西哥,Mexique,México,Мексика,المكسيك
Argentina,2020-03-28T00:00:00.000Z,690,17,46505,-65.16748474,-35.37667253,Argentina,阿根廷 ,Argentine,Argentina,Аргентина,الأرجنتين
Peru,2020-03-28T00:00:00.000Z,635,11,46506,-74.37540668,-9.16377133,Peru,秘鲁,Pérou,Perú,Перу,بيرو
Dominican Republic,2020-03-28T00:00:00.000Z,581,20,46507,-70.48543447,18.89309386,Dominican Republic,多米尼加 ,République dominicaine,República Dominicana,Доминиканская Республика,الجمهورية الدومينيكية
Colombia,2020-03-28T00:00:00.000Z,539,6,46508,-73.07576335,3.90037401,Colombia,哥伦比亚,Colombie,Colombia,Колумбия,كولومبيا
Uruguay,2020-03-28T00:00:00.000Z,274,0,46509,-56.01217362,-32.79956992,Uruguay,乌拉圭,Uruguay,Uruguay,Уругвай,أوروغواي
Costa Rica,2020-03-28T00:00:00.000Z,263,2,46510,-84.18903867,9.97052135,Costa Rica,哥斯达黎加,Costa Rica,Costa Rica,Коста-Рика,كوستاريكا
Cuba,2020-03-28T00:00:00.000Z,119,3,46511,-79.0381998,21.62142096,Cuba,古巴,Cuba,Cuba,Куба,كوبا
Venezuela (Bolivarian Republic of),2020-03-28T00:00:00.000Z,113,2,46512,-66.16621515,7.12493711,Venezuela (Bolivarian Republic of),委内瑞拉(玻利瓦尔共和国),Venezuela (République bolivarienne du),Venezuela (República Bolivariana de),Венесуэла (Боливарианская Республика),فنزويلا
Guadeloupe,2020-03-28T00:00:00.000Z,96,2,46513,-61.53039242,16.20126357,Guadeloupe,"瓜德罗普岛
",,,,
Martinique,2020-03-28T00:00:00.000Z,93,1,46514,-61.02147382,14.65277419,Martinique,"马提尼克岛
",,,,
Bolivia (Plurinational State of),2020-03-28T00:00:00.000Z,74,0,46515,-64.67054847,-16.71510989,Bolivia (Plurinational State of),玻利维亚（多民族国）,Bolivie (État plurinational de),Bolivia (Estado Plurinacional de)  ,Боливия (Многонациональное Государство),بوليفيا (دولة - المتعددة القوميات)
Trinidad and Tobago,2020-03-28T00:00:00.000Z,74,2,46516,-61.25263722,10.46836429,Trinidad and Tobago,特立尼达和多巴哥,Trinité-et-Tobago,Trinidad y Tabago,Тринидад и Тобаго ,ترينيداد وتوباغو
Honduras,2020-03-28T00:00:00.000Z,67,1,46517,-86.61965899,14.81934813,Honduras,洪都拉斯,Honduras,Honduras,Гондурас,هندوراس
Puerto Rico,2020-03-28T00:00:00.000Z,64,2,46518,-66.46612748,18.22093074,Puerto Rico,"波多黎各
",,,,
Paraguay,2020-03-28T00:00:00.000Z,56,3,46519,-58.39095178,-23.23612887,Paraguay,巴拉圭,Paraguay,Paraguay,Парагвай,باراغواي
Aruba,2020-03-28T00:00:00.000Z,46,0,46520,-69.97713313,12.51668736,Aruba,"阿鲁巴
",,,,
Guatemala,2020-03-28T00:00:00.000Z,32,1,46521,-90.3569493,15.7023026,Guatemala,危地马拉,Guatemala,Guatemala,Гватемала,غواتيمالا
French Guiana,2020-03-28T00:00:00.000Z,31,0,46522,-53.24126696,3.9243882,French Guiana,"法属圭亚那
",,,,
Jamaica,2020-03-28T00:00:00.000Z,30,1,46523,-77.31975081,18.15133064,Jamaica,牙买加,Jamaïque,Jamaica,Ямайка,جامايكا
Barbados,2020-03-28T00:00:00.000Z,24,0,46524,-59.56212696,13.17879902,Barbados,巴巴多斯,Barbade,Barbados,Барбадос,بربادوس
El Salvador,2020-03-28T00:00:00.000Z,19,0,46525,-88.86560674,13.73614532,El Salvador,萨尔瓦多,El Salvador,El Salvador,Сальвадор,السلفادور
Bermuda,2020-03-28T00:00:00.000Z,17,0,46526,-64.75637722,32.31349498,Bermuda,"百慕大
",,,,
United States Virgin Islands,2020-03-28T00:00:00.000Z,17,0,46527,-64.78692721,17.9678899,United States Virgin Islands,"美属维尔京群岛
",,,,
Saint Martin,2020-03-28T00:00:00.000Z,12,0,46528,-63.06457229,18.0876049,Saint Martin,"圣马丁岛
",,,,
Dominica,2020-03-28T00:00:00.000Z,11,0,46529,-61.35549385,15.43661252,Dominica,多米尼克,Dominique,Dominica,Доминика,دومينيكا
Bahamas,2020-03-28T00:00:00.000Z,10,0,46530,-76.5004385,24.1666829,Bahamas,巴哈马,Bahamas,Bahamas,Багамские Острова,جزر البهاما
Cayman Islands,2020-03-28T00:00:00.000Z,8,1,46531,-80.82909683,19.431525,Cayman Islands,"开曼群岛
",,,,
Haiti,2020-03-28T00:00:00.000Z,8,0,46532,-72.68358014,18.93900136,Haiti,海地,Haïti,Haití,Гаити,هايتي
Suriname,2020-03-28T00:00:00.000Z,8,0,46533,-55.91158124,4.12671321,Suriname,苏里南,Suriname,Suriname,Суринам,سورينام
Antigua and Barbuda,2020-03-28T00:00:00.000Z,7,0,46534,-61.79112759,17.280137,Antigua and Barbuda,安提瓜和巴布达,Antigua-et-Barbuda,Antigua y Barbuda,Антигуа и Барбуда,أنتيغوا وبربودا
